layer,width,seed,mse,sparsity,coherence,effective_rank,condition_number
5,16384,123,0.03236786276102066,0.9969482421875,0.2006242722272873,763.4418334960938,1.551687240600586
1,4096,42,0.032592952251434326,0.98779296875,0.18935467302799225,748.9593505859375,2.488955497741699
8,8192,42,0.13769963383674622,0.993896484375,0.19682903587818146,758.7243041992188,1.8690565824508667
5,8192,42,0.03151939809322357,0.993896484375,0.19721432030200958,758.7265014648438,1.8686869144439697
6,16384,123,0.04424258694052696,0.9969482421875,0.2006242722272873,763.4418334960938,1.5518556833267212
3,16384,999,0.021932879462838173,0.9969482421875,0.21762455999851227,763.4385375976562,1.5466278791427612
2,8192,42,0.019502539187669754,0.993896484375,0.19767966866493225,758.7265014648438,1.8685739040374756
7,4096,999,0.07828553020954132,0.98779296875,0.20211586356163025,748.9744262695312,2.500316858291626
10,4096,123,1.0045320987701416,0.98779296875,0.18917983770370483,749.0308227539062,2.490811347961426
2,16384,42,0.020382486283779144,0.9969482421875,0.21139930188655853,763.4502563476562,1.5418212413787842
4,8192,123,0.025883682072162628,0.993896484375,0.20683836936950684,758.74609375,1.8663346767425537
1,16384,999,0.02932082675397396,0.9969482421875,0.21762455999851227,763.43896484375,1.546588659286499
0,4096,42,0.08412928134202957,0.98779296875,0.18935467302799225,748.9600830078125,2.489023447036743
8,4096,123,0.14980533719062805,0.98779296875,0.19070637226104736,749.0308227539062,2.4906976222991943
4,8192,999,0.026349442079663277,0.9938965439796448,0.20367340743541718,758.74169921875,1.8762481212615967
2,8192,123,0.02001817710697651,0.993896484375,0.20683836936950684,758.74609375,1.866143822669983
7,4096,42,0.07964713126420975,0.98779296875,0.18935467302799225,748.9619140625,2.4902374744415283
0,16384,123,0.0828007310628891,0.9969482421875,0.2006242722272873,763.4421997070312,1.551677942276001
7,16384,42,0.0735333040356636,0.9969482421875,0.21242603659629822,763.449462890625,1.5421487092971802
5,16384,42,0.03213740512728691,0.9969482421875,0.2119566798210144,763.4502563476562,1.5424591302871704
4,16384,42,0.026302460581064224,0.9969481825828552,0.21139930188655853,763.4502563476562,1.541850209236145
0,4096,999,0.08704987913370132,0.98779296875,0.20211586356163025,748.9744262695312,2.499439001083374
1,8192,42,0.029663734138011932,0.993896484375,0.19750367105007172,758.7265014648438,1.8688358068466187
2,16384,123,0.020306216552853584,0.9969482421875,0.2006242722272873,763.4421997070312,1.5517354011535645
9,4096,42,0.29117551445961,0.98779296875,0.18917420506477356,748.9554443359375,2.4926598072052
7,4096,123,0.07677524536848068,0.98779296875,0.19041556119918823,749.0300903320312,2.4914777278900146
9,8192,123,0.2718028426170349,0.993896484375,0.20683836936950684,758.7453002929688,1.8659822940826416
11,16384,999,2.613069534301758,0.9969482421875,0.21731890738010406,763.4385375976562,1.5468207597732544
9,16384,123,0.2720044255256653,0.9969482421875,0.2006242722272873,763.4414672851562,1.552120327949524
6,8192,999,0.04302766174077988,0.9938965439796448,0.20369604229927063,758.740234375,1.876176118850708
4,16384,123,0.026800967752933502,0.9969482421875,0.2006242722272873,763.4421997070312,1.5518054962158203
6,8192,42,0.04283645749092102,0.993896484375,0.19726672768592834,758.7261352539062,1.8690173625946045
4,4096,42,0.0278499536216259,0.98779296875,0.18935467302799225,748.959716796875,2.4888644218444824
2,16384,999,0.019756058230996132,0.9969482421875,0.21762455999851227,763.4385375976562,1.5465260744094849
5,8192,999,0.03148091956973076,0.993896484375,0.20347464084625244,758.740966796875,1.875850796699524
5,16384,999,0.03207879513502121,0.9969482421875,0.21770095825195312,763.4385375976562,1.5463616847991943
6,8192,123,0.04398274049162865,0.9938965439796448,0.20683836936950684,758.7453002929688,1.8666306734085083
10,8192,42,0.905860424041748,0.9938963651657104,0.1971389502286911,758.7250366210938,1.8681871891021729
7,16384,999,0.07333444058895111,0.9969482421875,0.21797746419906616,763.4385375976562,1.5466277599334717
9,16384,999,0.2733924984931946,0.9969482421875,0.21762455999851227,763.4378051757812,1.5463746786117554
8,16384,123,0.1376855969429016,0.9969482421875,0.2006242722272873,763.4414672851562,1.5518437623977661
0,8192,42,0.08235420286655426,0.993896484375,0.19750367105007172,758.7265014648438,1.868622064590454
0,8192,999,0.08133914321660995,0.9938963651657104,0.20369498431682587,758.7420654296875,1.8761385679244995
7,16384,123,0.07326731830835342,0.9969482421875,0.2006242722272873,763.4421997070312,1.551897644996643
10,4096,999,1.000373363494873,0.98779296875,0.2019110471010208,748.97119140625,2.499300241470337
8,8192,999,0.136974036693573,0.993896484375,0.20294702053070068,758.740966796875,1.876084327697754
8,4096,42,0.14855141937732697,0.98779296875,0.18929460644721985,748.9593505859375,2.4921460151672363
10,16384,999,0.9024718999862671,0.9969482421875,0.2182692289352417,763.4378051757812,1.5468616485595703
4,16384,999,0.026606135070323944,0.9969482421875,0.21762455999851227,763.4385375976562,1.546654462814331
7,8192,123,0.07362436503171921,0.993896484375,0.20683836936950684,758.7453002929688,1.8663513660430908
1,16384,42,0.02942301332950592,0.9969482421875,0.21139930188655853,763.4502563476562,1.5418165922164917
11,16384,123,2.6057980060577393,0.9969481825828552,0.2006242722272873,763.4411010742188,1.5519461631774902
4,8192,42,0.025949645787477493,0.993896484375,0.1972312033176422,758.7265014648438,1.8687760829925537
11,8192,42,2.635159492492676,0.993896484375,0.19677716493606567,758.7254638671875,1.8691775798797607
3,8192,123,0.02210100181400776,0.993896484375,0.20683836936950684,758.7463989257812,1.8662065267562866
11,4096,999,2.9008872509002686,0.98779296875,0.2029055505990982,748.9722290039062,2.499683141708374
0,4096,123,0.08859901875257492,0.98779296875,0.19060660898685455,749.0311889648438,2.4897632598876953
10,8192,123,0.9196406006813049,0.993896484375,0.20722155272960663,758.7431640625,1.8661664724349976
2,4096,999,0.02127881534397602,0.98779296875,0.20201092958450317,748.97509765625,2.499807834625244
3,8192,42,0.02138512022793293,0.993896484375,0.19748543202877045,758.7265014648438,1.868924617767334
9,16384,42,0.2711004614830017,0.9969482421875,0.2118896096944809,763.449462890625,1.5418063402175903
3,4096,999,0.023289764299988747,0.98779296875,0.20211586356163025,748.9765014648438,2.4995288848876953
1,8192,999,0.02948843687772751,0.993896484375,0.203828826546669,758.74169921875,1.8763645887374878
3,8192,999,0.021628329530358315,0.993896484375,0.20370107889175415,758.74169921875,1.876072883605957
0,16384,42,0.08075132220983505,0.9969482421875,0.21139930188655853,763.4502563476562,1.5418111085891724
8,4096,999,0.14975681900978088,0.98779296875,0.2023012340068817,748.9725952148438,2.50113844871521
1,4096,999,0.031145259737968445,0.98779296875,0.2021147906780243,748.97509765625,2.500136137008667
1,4096,123,0.031413234770298004,0.98779296875,0.19060660898685455,749.0308227539062,2.4901177883148193
7,8192,42,0.07248833030462265,0.993896484375,0.19675303995609283,758.725830078125,1.8687888383865356
10,8192,999,0.9147488474845886,0.9938965439796448,0.2025236040353775,758.7406005859375,1.8766107559204102
6,4096,999,0.04731843248009682,0.98779296875,0.20211586356163025,748.9744262695312,2.499863624572754
6,4096,123,0.044884707778692245,0.98779296875,0.1906886100769043,749.0304565429688,2.491806745529175
4,4096,999,0.027914876118302345,0.98779296875,0.20216356217861176,748.975830078125,2.4993643760681152
6,16384,42,0.04400388523936272,0.9969482421875,0.21199484169483185,763.449462890625,1.541943907737732
3,16384,42,0.02228095382452011,0.9969482421875,0.21139930188655853,763.4502563476562,1.5416440963745117
6,16384,999,0.04392055794596672,0.9969482421875,0.21777506172657013,763.4385375976562,1.5464822053909302
5,4096,123,0.03286271169781685,0.98779296875,0.1906185746192932,749.0300903320312,2.491542100906372
6,4096,42,0.04656338319182396,0.98779296875,0.18935467302799225,748.9608154296875,2.4903438091278076
3,4096,123,0.02392636612057686,0.98779296875,0.19060660898685455,749.0308227539062,2.491192579269409
10,4096,42,0.9971427321434021,0.98779296875,0.18964828550815582,748.9536743164062,2.4914400577545166
3,4096,42,0.023229245096445084,0.98779296875,0.18935467302799225,748.9605102539062,2.4888126850128174
8,16384,999,0.138504296541214,0.9969482421875,0.21762455999851227,763.4378051757812,1.546830415725708
8,8192,123,0.13790008425712585,0.9938965439796448,0.20683836936950684,758.7453002929688,1.8663419485092163
7,8192,999,0.07230247557163239,0.993896484375,0.20323532819747925,758.7406005859375,1.8762993812561035
1,8192,123,0.02989037334918976,0.9938963651657104,0.20683836936950684,758.7456665039062,1.8661860227584839
11,8192,999,2.6362271308898926,0.993896484375,0.20437729358673096,758.74169921875,1.8763506412506104
11,4096,42,2.8632495403289795,0.98779296875,0.18941965699195862,748.9576416015625,2.489341974258423
